Plot,N_sensitive,N_oligo,N_For,N_Cyan,spp_rich
1350,10,11,6,0,17
1351,12,12,7,0,13
1352,8,9,5,1,10
1354,10,10,8,1,10
1356,11,11,7,1,12
1358,10,10,8,1,10
1359,5,5,3,1,7
1361,8,8,6,0,8
1362,13,14,10,0,15
1363,5,5,4,0,6
1364,13,13,7,1,13
1365,10,10,6,1,10
1367,9,10,8,0,18
1368,16,10,10,4,30
1371,3,1,3,0,5
1373,19,11,11,7,35
1375,17,14,4,10,28
1376,17,11,12,2,32
1377,19,15,8,4,27
1379,12,10,7,0,22
1380,20,15,4,5,24
1381,10,8,4,0,12
1383,10,11,6,0,15
1384,16,17,8,0,25
1385,13,14,9,0,17
1387,6,6,4,1,6
1389,16,14,10,1,22
1391,8,8,6,1,10
1393,6,6,4,1,6
1395,13,13,7,1,14
1396,15,15,10,1,22
1397,13,14,8,1,18
1401,5,5,3,1,5
1402,6,7,5,0,8
1403,6,8,6,0,12
1404,11,11,6,0,17
1405,8,4,5,0,16
1406,12,7,4,1,19
1407,16,13,6,2,22
1408,17,9,10,1,28
1409,19,11,11,3,27
1411,20,16,13,2,35
1414,12,8,4,3,18
1415,13,15,6,3,23
1416,9,9,7,0,12
1418,11,13,6,0,17
1419,14,14,6,1,20
1421,14,15,10,1,17
1422,21,20,12,1,31
1424,6,6,4,1,6
1426,13,14,8,1,16
1427,19,20,12,1,26
1428,12,13,9,0,13
1429,10,11,7,0,14
1432,7,7,5,1,7
1435,6,6,5,0,15
1436,3,1,3,1,10
1437,17,10,5,9,24
1439,21,14,13,2,33
1441,15,9,9,2,23
1442,19,16,8,5,32
1443,13,9,6,1,20
1444,19,20,8,5,35
1445,17,16,10,0,25
1447,16,16,8,0,27
1448,21,20,9,1,32
1449,11,13,6,0,21
1451,10,10,5,0,13
1452,13,16,9,0,20
1453,16,15,9,1,22
1454,9,9,6,1,9
1456,17,16,8,1,24
1457,16,16,8,1,22
1459,5,5,3,1,6
1460,5,6,4,1,7
1461,12,11,8,1,13
1464,12,13,6,1,13
1465,11,12,8,0,21
1467,12,11,6,0,21
1469,11,9,6,0,16
1470,4,7,5,4,11
1471,10,8,6,4,19
1472,8,4,5,2,15
1473,12,8,10,3,27
1474,14,6,8,0,22
1476,22,15,10,8,38
1478,17,14,10,1,30
1479,19,17,4,14,34
1480,12,9,3,6,22
1482,19,16,5,7,25
1484,22,15,10,8,36
